"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0.01,96.5906348557505,89.4895461731441,97.727213650813,98.5735468457126,96.850613465279,97.1832813044356,97.5346541742865,97.6656997862061,97.4700482996592,98.8997971292632,97.0840385033483,97.4871721314204,98.5846731763349,96.9671067395782,98.3703959021832,98.5953820809734,97.3132644115936,96.8329937431736,97.0861984521632,97.8024838853852,97.8134287661268,44.9764041380578,99.1235113036593
"2",0.02,97.0105004745466,89.4569521145366,98.1019409720812,98.5210664776192,97.1982853516201,97.6054598941092,97.8295806190478,97.8648058630785,97.7758763883225,98.9697692867415,97.4645283285027,97.8797935604797,98.8894818577438,97.4282276284928,98.7230528565606,98.6301507886082,97.6518532570103,96.9712030477602,97.4830103217362,98.0758155918383,98.1442241743152,44.9890972860189,99.1235652549372
"3",0.03,96.7760843362366,91.2534200962266,97.812690863086,97.9851121953529,97.2425068120853,97.0665843390942,97.4049194049248,97.7761940729806,97.3580439295061,98.9295929315077,97.1641368596647,97.5577571479502,98.6610573311641,97.3032529905188,98.480819923284,98.7600618333861,97.3911158582519,97.2697119845439,96.9654078402453,97.8838722901188,97.7311204439607,44.9691804046962,99.1234646684736
"4",0.04,95.3016237024668,89.7689173746969,96.9273131319248,98.4368812304646,95.8143895228368,96.1731834701904,96.57971219441,97.1089727618831,96.5996725592913,98.5958948886513,95.5360628978976,96.6944630200795,97.9175246867677,96.3403586688417,97.6431539696883,98.385128894715,96.4434022713732,96.4151087002853,95.9129863963939,97.1717336980281,96.9983932349198,44.9410677099837,99.1234657587745
"5",0.05,97.1700853304068,89.3212489221107,98.2508111184672,98.4607500899132,97.3265039360837,97.8119875782689,97.9921318601596,97.9479890320559,97.9575439070785,98.9695231824618,97.6423626166061,98.0444448756029,98.9840573278475,97.5232286101219,98.853958272128,98.6232577749661,97.8195408193013,96.9976850294628,97.7200014532309,98.1354949549118,98.3100455122466,44.9925324343601,99.1236191986992
"6",0.06,97.1856995101153,89.4732958614345,98.2399579599921,98.477192842361,97.3541977855217,97.779502177349,97.9836492747144,97.9440975709412,97.9392779627667,99.0071610037125,97.6367920102987,98.0272387024988,98.9709557297215,97.535784458306,98.8424802095387,98.6485881316058,97.8075161748159,97.0344146630354,97.6958340607297,98.128314254157,98.2864012107132,44.9906370934799,99.1236084000911
"7",0.07,96.6817384316373,89.306039126557,97.8357211526797,98.5854654503196,96.9008376332899,97.2772114183942,97.5356686257453,97.7089565727535,97.4517940777975,98.8910191327405,97.0902610864358,97.611667745065,98.6547147490857,97.1688385628609,98.4640129577667,98.5864596771314,97.3934790961671,96.8086711311498,97.1706196995613,97.8596812990102,97.86452702434,44.9784458123616,99.1235310791653
"8",0.08,97.0682614588858,89.2142804730181,98.1301594344825,98.5019045308578,97.1880243794352,97.673535726605,97.912628467454,97.8853688496799,97.8252008640067,98.9282061480575,97.4917000526911,97.9290925492856,98.9037024818228,97.4374932196873,98.7522806014069,98.5985718886009,97.7085638520844,96.9360282902985,97.5766328723952,98.0659137972261,98.1835903569319,44.9894146828992,99.123588550804
"9",0.09,96.8818678423905,89.2311948891663,97.941032613246,98.5523902686311,97.0024182329091,97.5357832071626,97.6893456411297,97.865506038407,97.7025031514538,98.905696941828,97.373277751964,97.7188834393699,98.9570138682046,97.3769377858509,98.5657670632345,98.5842339935733,97.517130578498,96.8944777917337,97.3790006784879,98.0745803100451,98.071159670167,44.9847664361792,99.1235649460395
"10",0.1,97.0847837509683,90.3031617565085,98.1132062737283,98.3626551063107,97.3766236893458,97.5151274829129,97.8360960143431,97.8924425819622,97.7365475144953,99.0947012383816,97.5076518772551,97.8677377464105,98.8951831601724,97.5134436728371,98.7356082614106,98.7305403800319,97.6619873921458,97.1650102232502,97.4732305804875,98.0167726262889,98.0628867265795,44.9833895177045,99.1235702179549
"11",0.11,97.0751578340096,90.1366134554081,98.1075874333633,98.3946282783139,97.3441834881668,97.5390008496131,97.8417993872041,97.8828726796347,97.750701502462,99.0956032499986,97.5020517504227,97.8719980379044,98.8657548990652,97.4947891880941,98.7204954473791,98.7127111950725,97.6657330201472,97.1253689012197,97.4716603541191,98.0387506888609,98.0794597716087,44.9755637365377,99.1236173088812
"12",0.12,96.8981038198321,89.2432906401943,97.9781568777377,98.445433948661,97.0217197902722,97.4898209335629,97.7115679302624,97.7729235980786,97.6497584918667,98.9589244079317,97.3014769941352,97.7579035762302,98.73478791608,97.3188849598379,98.5826980770071,98.5915856430327,97.538297797172,96.8647175876927,97.4931413210766,97.9398330427278,98.0476755147,44.9525536135229,99.1237723063866
"13",0.13,96.7747585911522,91.2676273065317,97.8559532155168,98.0643745125595,97.1650015316401,97.1627459204412,97.5502209115277,97.7613919190636,97.348570811049,98.9705253011204,97.1701840362214,97.5977852743689,98.6773323173255,97.3078367571235,98.5138511446329,98.7525039492671,97.4025399896727,97.210113036583,96.9612771781942,97.8909876893308,97.7459978863714,44.9665363161876,99.1235246571444
"14",0.14,97.0592526393422,89.2933763856867,98.1647841418793,98.3639699746962,97.2286604953756,97.7001280883556,97.9037990339925,97.8925387488291,97.8490999330083,98.9521786156829,97.5421517948694,97.9564450337475,98.9121534303222,97.4598590745891,98.7735629281596,98.6021769809473,97.726643484006,96.9401495974938,97.5331670934235,98.0731593508519,98.2117936146875,44.9815468454132,99.1236721608167
"15",0.15,97.084802390365,89.4496158228495,98.1831243032947,98.5489031131645,97.2247966942591,97.5707687474889,97.9766493226045,97.9104818228115,97.6067339804918,98.9516837111638,97.597968743562,97.9642655661948,98.9365394036475,97.50034255552,98.7998745784995,98.6284857600086,97.7309875748375,97.0067863892262,97.5721997131406,98.0903912559137,98.2659605325839,45.0003672007242,99.1235015118295
"16",0.16,97.0907937362344,90.600699583305,98.1477998465308,98.2365341270487,97.4510422946582,97.5410338845023,97.8709863707902,97.9176733468029,97.7775571895311,99.09799673293,97.5700514508976,97.8970938917333,98.8764687031519,97.5688012206071,98.7674683221434,98.7447906688593,97.6990329955035,97.2492163070583,97.4444573218829,98.0750285626368,98.0759364028826,44.9801280001531,99.1235987301504
"17",0.17,96.9744178127815,89.4284895453699,98.0559271713628,98.4842513212333,97.1563791480259,97.5440599005993,97.7788225147487,97.8203035242114,97.7127019896258,98.9937176651865,97.3765369979138,97.8410920554895,98.8100865424192,97.3801565718898,98.6800418957031,98.6404821109539,97.6227416279366,96.9345053022768,97.5820528264359,97.9946122258545,98.0969617428253,44.9717375044072,99.1236871819184
"18",0.18,97.2117774765596,89.5328604216617,98.313420671529,98.443509415065,97.0925323575886,97.797899577014,98.0450111719752,98.0340605442663,97.9918334428269,99.0075598590068,97.7413133861129,98.1128352148144,99.10058612325,97.5344830281818,98.9232146119343,98.6484658280449,97.8720027301999,97.0328786723043,97.7608199039973,98.1874967687998,98.3713869960544,44.9858688173064,99.1236297424123
"19",0.19,97.0380543905404,89.9930187027205,98.0917872463677,98.4416836408177,97.27617002729,97.5434456102028,97.8253720029405,97.8539001808851,97.7420602061086,99.0679984723075,97.4680482711218,97.8606267622278,98.8926598369957,97.4607840558158,98.708903008125,98.7028286032242,97.648490857631,97.0641235221952,97.4274285080002,98.0407809649524,98.0852191396534,44.9810218010224,99.1235791506705
"20",0.2,97.1520186399097,89.6155730146375,98.2118256685792,98.4971613155988,97.3240436498135,97.7444424263232,97.9505734732152,97.9272532058976,97.901010013177,99.0125851014923,97.5908559562467,97.9957620992866,98.9549327736926,97.5162429921906,98.816941082792,98.6593941737462,97.7756796008964,97.0313130756899,97.6463991714109,98.1148108264955,98.2507311433701,44.9920431639328,99.1235753350285
"21",0.21,96.9993291533223,89.331600003006,98.1554988045386,98.5079772389877,97.2063295857632,97.6826563316209,97.8690057631743,97.8228133982766,97.8253285187257,98.9540960736656,97.5054203453679,97.9247079048087,98.866765662386,97.4395290641221,98.8332998626292,98.6189548502036,97.6154645743059,96.94658441507,97.453916950548,98.0088115214306,98.1983362192639,44.9885756973781,99.1236069696975
"22",0.22,96.9795863188626,89.371370928841,98.0774156135448,98.5087214888791,97.1362188652832,97.5938713252223,97.8060974803927,97.8368934484949,97.7513075361308,98.9647576515407,97.4220569453659,97.8652201739637,98.8374905042023,97.3820029170051,98.6904874978702,98.6265443696168,97.63786211369,96.9125739536617,97.4295808723333,98.0079174585087,98.1349105567032,44.9783889592702,99.1236144718933
"23",0.23,97.0285267561358,92.002009612807,98.0778025382266,98.1988127765229,97.2879625866743,97.48446049989,97.8238524997603,97.8238638353608,97.717337456326,99.0755774639456,97.4444121574403,97.8427518617896,98.8842759199658,97.438241522721,98.6866048179824,98.7534796667336,97.6251512845855,97.0942085762674,97.4828065845486,97.989303849945,98.0510546758901,44.9744391452803,99.1235768877509
"24",0.24,96.7216419664272,89.6373354212444,97.8835653231363,98.5486984554025,97.0123395579166,97.3518488625415,97.552471779636,97.6846986131549,97.5362736544362,98.9742399430122,97.2245362029209,97.6238630916641,98.6707181081474,97.1466718012419,98.6576473131664,98.6487390200726,97.2656771860279,96.9272555328604,96.9946423114495,97.8874109404661,98.1033543938775,44.9734158656274,99.1235497831283
"25",0.25,97.1927465198077,89.5841196641154,98.2582515824894,98.4384005043301,97.3826959097742,97.7921512019131,98.0001411125646,97.9541766805654,97.9543910386492,99.0318440563921,97.6573235780445,98.043677812663,98.9880461324495,97.5528128232313,98.8595640265857,98.6636169976068,97.8242336424483,97.0580351161114,97.7760633756999,98.1390949801266,98.2958887441594,44.9901329857703,99.1236368896656
"26",0.26,97.1359366099583,89.5769008914775,98.2389160886287,98.4321280633633,97.2672523678152,97.8819939654209,97.9650276948234,97.9220032695429,97.8178863090164,99.0157058279954,97.6155698040871,98.0241845255746,98.9604683464174,97.5178206548189,98.8330871660882,98.6557195207375,97.7865520889682,97.0304072272782,97.6928660905837,98.1015666550443,98.2700164123136,44.9877338129798,99.1236462580042
"27",0.27,97.1815768401315,90.1138942917395,98.2005756799751,98.4242184396783,97.390364153863,97.6810477286334,97.935712450959,97.8902938008917,97.864458199197,99.076163409175,97.5899449820402,97.9718983516938,99.0415464387673,97.5433338549897,98.8051470625476,98.6984557119549,97.7577991342802,97.1076343554925,97.7052804309093,98.0979496163406,98.1926305121783,44.9859935931956,99.1236113914169
"28",0.28,96.6478928942794,90.2513049343073,97.7653230507141,98.4109214861093,96.9974677982731,97.2778653945106,97.4710138387492,97.7083223146979,97.2693552292201,99.0199058006483,97.0861131043934,97.5360673305095,98.6229131462836,97.2009180545621,98.4241468954876,98.7008233828138,97.3395305638955,97.0242674948706,97.0011957829289,97.8343573930204,97.7695009645839,44.970446922712,99.1235329350944
"29",0.29,97.1286732471365,90.660007672661,98.1623529172843,98.27288459879,97.4530156075725,97.5649360880737,97.897320269816,97.8979517264324,97.7888074800863,99.1045623138745,97.5713008748989,97.9191525187744,98.9347776993587,97.5655642507689,98.7644167922838,98.7401409537289,97.7316822616306,97.2233562916643,97.4994139152512,98.0827570239515,98.0984963802034,44.9810448382149,99.1235950420328
"30",0.3,96.777175604019,89.4841630866699,97.9202402226417,98.5296713928221,96.9812996447995,97.3946713321752,97.6298243046195,97.7486575495168,97.5667590054722,98.977318522875,97.2302301171905,97.6969473316637,98.7050815823691,97.2518571790419,98.5400885287064,98.6407945220788,97.4730729993826,96.864518944793,97.3010121643995,97.9066552350384,97.9540374450245,44.9667718143282,99.123639952607
